Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-12-07,30.49,32.4,30.05,31.56,1311300.0,0.0,1.0,30.49,32.4,30.05,31.56,1311300.0
2010-12-08,32.48,32.49,31.52,32.37,660000.0,0.0,1.0,32.48,32.49,31.52,32.37,660000.0
2010-12-09,32.51,32.72,31.65,32.05,406000.0,0.0,1.0,32.51,32.72,31.65,32.05,406000.0
2010-12-10,32.05,32.92,31.1301,31.52,429400.0,0.0,1.0,32.05,32.92,31.1301,31.52,429400.0
2010-12-13,31.64,31.77,30.4,30.55,410400.0,0.0,1.0,31.64,31.77,30.4,30.55,410400.0
2010-12-14,30.29,30.3899,27.761,28.53,1765700.0,0.0,1.0,30.29,30.3899,27.761,28.53,1765700.0
2010-12-15,28.67,29.97,28.53,29.6,742900.0,0.0,1.0,28.67,29.97,28.53,29.6,742900.0
2010-12-16,30.0,30.91,29.6501,30.81,790100.0,0.0,1.0,30.0,30.91,29.6501,30.81,790100.0
2010-12-17,31.34,31.54,30.71,31.36,813000.0,0.0,1.0,31.34,31.54,30.71,31.36,813000.0
2010-12-20,31.64,32.19,31.26,31.7,523400.0,0.0,1.0,31.64,32.19,31.26,31.7,523400.0
2010-12-21,31.8,32.69,31.7101,32.26,777700.0,0.0,1.0,31.8,32.69,31.7101,32.26,777700.0
2010-12-22,32.25,32.86,31.7,32.63,833300.0,0.0,1.0,32.25,32.86,31.7,32.63,833300.0
2010-12-23,31.26,32.48,29.92,30.09,1552600.0,0.0,1.0,31.26,32.48,29.92,30.09,1552600.0
2010-12-27,28.02,28.58,25.06,25.549,9301900.0,0.0,1.0,28.02,28.58,25.06,25.549,9301900.0
2010-12-28,25.85,26.75,25.0,26.41,4056300.0,0.0,1.0,25.85,26.75,25.0,26.41,4056300.0
2010-12-29,27.03,28.01,26.5,27.73,3319200.0,0.0,1.0,27.03,28.01,26.5,27.73,3319200.0
2010-12-30,27.7,27.9,26.38,26.5,2041100.0,0.0,1.0,27.7,27.9,26.38,26.5,2041100.0
2010-12-31,26.57,27.25,26.5,26.63,1417900.0,0.0,1.0,26.57,27.25,26.5,26.63,1417900.0
2011-01-03,26.84,26.9999,25.9,26.62,1283000.0,0.0,1.0,26.84,26.9999,25.9,26.62,1283000.0
2011-01-04,26.66,26.95,26.02,26.67,1187400.0,0.0,1.0,26.66,26.95,26.02,26.67,1187400.0
2011-01-05,26.48,26.9,26.19,26.83,1446700.0,0.0,1.0,26.48,26.9,26.19,26.83,1446700.0
2011-01-06,26.83,28.0,26.81,27.88,2061200.0,0.0,1.0,26.83,28.0,26.81,27.88,2061200.0
2011-01-07,28.0,28.58,27.9,28.24,2247900.0,0.0,1.0,28.0,28.58,27.9,28.24,2247900.0
2011-01-10,28.17,28.68,28.05,28.45,1342700.0,0.0,1.0,28.17,28.68,28.05,28.45,1342700.0
2011-01-11,28.59,28.71,26.92,26.96,1710200.0,0.0,1.0,28.59,28.71,26.92,26.96,1710200.0
2011-01-12,27.01,27.399,26.52,26.96,964400.0,0.0,1.0,27.01,27.399,26.52,26.96,964400.0
2011-01-13,26.96,26.97,26.16,26.22,723600.0,0.0,1.0,26.96,26.97,26.16,26.22,723600.0
2011-01-14,26.15,26.58,25.61,25.75,1192000.0,0.0,1.0,26.15,26.58,25.61,25.75,1192000.0
2011-01-18,25.48,25.64,24.75,25.64,1621700.0,0.0,1.0,25.48,25.64,24.75,25.64,1621700.0
2011-01-19,25.27,25.47,23.75,24.03,2371500.0,0.0,1.0,25.27,25.47,23.75,24.03,2371500.0
2011-01-20,24.03,24.45,22.37,22.62,2279900.0,0.0,1.0,24.03,24.45,22.37,22.62,2279900.0
2011-01-21,23.12,23.59,22.71,23.04,1217000.0,0.0,1.0,23.12,23.59,22.71,23.04,1217000.0
2011-01-24,23.53,24.81,23.23,24.49,1645100.0,0.0,1.0,23.53,24.81,23.23,24.49,1645100.0
2011-01-25,24.65,24.89,24.02,24.68,1271500.0,0.0,1.0,24.65,24.89,24.02,24.68,1271500.0
2011-01-26,24.71,24.88,24.1,24.75,1079900.0,0.0,1.0,24.71,24.88,24.1,24.75,1079900.0
2011-01-27,24.74,25.08,24.53,24.92,895700.0,0.0,1.0,24.74,25.08,24.53,24.92,895700.0
2011-01-28,24.88,24.88,23.75,24.01,1048400.0,0.0,1.0,24.88,24.88,23.75,24.01,1048400.0
